,permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude,neighborhood
13,PAA160127,SCHENLY HIGH SCHOOL,4101  BIGELOW BLVD,PITTSBURGH,15213.0,650,25815,429,O&M PLAN,0,t,2016-03-21,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.450131828827,-79.9546027562139,North Oakland
15,PAA160129,,100 N LEXINGTON ST,PITTSBURGH,15208.0,300,241,335,VAT ON 2ND FLOOR AND ROOFING,2300,f,2016-03-09,2016-03-21,2,t,f,2016-03-21,RENOVATION,40.4486903602394,-79.8997488703973,Point Breeze North
16,PAA160130,CMU,5000 FORBES AVE,PITTSBURGH,15213.0,650,10542,345,O&M PLAN,0,t,2016-01-01,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4442129846549,-79.94339909741,Squirrel Hill North
17,PAA160131,EAST MINSTER PRESBYTERIAN CHURCH,250 N HIGHLAND AVE,PITTSBURGH,15206.0,650,10551,345,ACOUSTICAL PLASTER CEILING AND PIPE INSULATION IN EAST ENTRY RENOVATION AREA,1620,t,2016-03-24,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4632511594384,-79.9234441379165,East Liberty
19,PAA160266,UNIVERSITY OF PITTSBURGH - RUSKIN HALL,120 RUSKIN AVE,PITTSBURGH,15213.0,650,62554,433,CAULKING ON NORTH AND WEST ELEVATION,10000,f,2016-05-31,2016-07-29,2,t,f,2016-07-29,RENOVATION,40.4470147305007,-79.953217996751,North Oakland
21,PAA160268,NORTHVIEW HEIGHTS SENIOR CENTER,533  MT PLEASANT RD,PITTSBURGH,15214.0,650,14618,360,MASTIC IN GYMNASIUM,4000,t,2016-06-13,2017-06-13,2,t,f,2017-06-13,RENOVATION,40.4776782818623,-79.9997959758016,Northview Heights
22,PAA160269,UNIVERSITY OF PITTSBURGH CATHEDRAL OF LEARNING,4200 5TH AVE,PITTSBURGH,15213.0,350,3944,316,CEILING GLUE IN ROOM G26,450,t,2016-06-08,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4443102647694,-79.9531966404474,North Oakland
23,PAA160270,WEST PENN HOSPITAL,4800 FRIENDSHIP AVE,PITTSBURGH,15224.0,650,3942,316,"VAT/MASTIC ON 4TH FLOOR WAITING ROOM,HALLWAY,STAIRS,LOBBY,REGISTRATION AND CHART ROOM",5650,t,2016-06-02,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4621317678598,-79.9462630434165,Bloomfield
25,PAA160274,ARLINGTON POOL RESIDENTIAL BUILDING,1526  FERNLEAF ST,PITTSBURGH,15210.0,150,7454,331,WINDOW CAULKING,165,f,2016-06-15,2016-06-19,2,t,f,2016-06-19,DEMOLITION,40.4176037907653,-79.97609910812,South Side Slopes
27,PAA160273,PERRY TRADITIONAL ACADEMY,3876  PERRYSVILLE AVE,PITTSBURGH,15214.0,650,109329,303,"ROOFING,PIPING/FITTINGS IN ROOM 169C AND WALL/CEILING PLASTER IN ROOMS 169,169B,169C,169D,200A,200C,267,268,269,269C,270,300,373 AND 374",6025,t,2016-06-03,2016-09-01,2,f,f,2016-09-01,RENOVATION,40.4891741113195,-80.0178749293404,Perry North
28,PAA160275,CRAFT PLACE,3224  BLVD OF THE ALLIES,PITTSBURGH,15213.0,650,2024,357,"VCT/LINOLEUM,PIPE INSULATION ON 1ST FLOOR  AND MEZZANINE,TAR ON 2ND FLOOR AND ROOFING",4100,f,2016-06-06,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.4357734110581,-79.9622181236285,South Oakland
30,PAA160277,CHAMBER OF COMMERCE BLDG,411  7TH AVE,PITTSBURGH,15219.0,350,4080,364,FLOOR TILE/MASTIC ON 9TH FLOOR KITCHEN AREA,1020,t,2016-06-13,2016-12-30,2,f,f,2016-12-30,RENOVATION,40.4429013742763,-79.9962852848508,Central Business District
32,PAA160279,PARKWAY CENTER MALL,1165 MCKINNEY LN,PITTSBURGH,15220.0,150,15702,310,FLOOR TILE/MASTIC IN K-MART AND ROOFING,126612,t,2016-06-03,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.423008492808,-80.0350261380725,Ridgemont
33,PAA160280,,4512  CENTRE AVE,PITTSBURGH,15213.0,350,3947,316,"VAT/MASTIC IN BASEMENT,1ST,2ND FLOORS AND PIPING IN BASEMENT,CAULKING  ON DOOR/WINDOW",970,f,2016-06-16,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.4516174108859,-79.9529675306014,North Oakland
37,PAA160161,1514 AND 1518 FORBES AVE,,PITTSBURGH,15219.0,650,15478,357,VCT AND MASTIC; ROOFING; FIRE DOORS; ELEVATOR DOORS; EXTERIOR DOOR CAULKING,1894,f,2016-04-12,2016-06-30,2,f,f,,DEMOLITION,40.4430363968235,-80.0248548904607,South Shore
39,PAA160163,UPMC MAGEE WOMENS HOSPITAL,300 HALKET ST,PITTSBURGH,15213.0,650,4255,326,FLOOR TILE/MASTIC IN 1100 IT CORRIDOR - 1ST FLOOR,2800,t,2016-04-15,2016-09-17,2,t,f,2016-09-17,RENOVATION,40.4370860222289,-79.9615430224765,South Oakland
40,PAA160164,PENN HIGHLAND BUILDING,5947 PENN AVE,PITTSBURGH,15206.0,650,1761635,323,ROOFING,11284,t,2016-04-11,2017-04-10,2,t,f,2017-04-10,RENOVATION,40.461664520039,-79.9249769754582,East Liberty
43,PAA160167,ALLEGHENY CENTER - DOLLAR BANK,10 ALLEGHENY CENTER MALL,PITTSBURGH,15212.0,150,15062,412,FLOOR TILE/MASTIC IN BANK,230,f,2016-04-08,2016-04-30,2,t,f,2016-04-30,RENOVATION,40.4519174333266,-80.0070278325912,Allegheny Center
45,PAA160169,UNIVERSITY OF PITTSBURGH CATHEDRAL OF LEARNING,4200 5TH AVE,PITTSBURGH,15213.0,650,41954,301,"PLASTER CEILING ON 12 FLOOR,FLOOR TILE/MASTIC 12TH  AND 37TH FLOOR,PIPE INSULATION 12 AND 37TH FLOOR, CLUE DOTS ON 12TH FLOOR AND MASTIC ON 37TH FLOOR",13655,t,2016-04-15,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4443102647694,-79.9531966404474,North Oakland
46,PAA160171,PITTSBURGHER,428 FORBES AVE,PITTSBURGH,15219.0,359,3926,316,FLOOR TILE IN BASEMENT,800,t,2016-04-13,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.438825039758,-79.9981951252272,Central Business District
48,PAA160170,FORBES LAW BUILDING,428 FORBES AVE,PITTSBURGH,15219.0,650,4690,317,O&M PLAN,0,t,2016-04-11,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.438825039758,-79.9981951252272,Central Business District
49,PAA160173,K&L GATES CENTER,210 6TH AVE,PITTSBURGH,15222.0,650,4256,326,O&M PLAN,0,t,2016-04-20,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4420061338605,-80.0000298225206,Central Business District
51,PAA140022,UPMC,DESOTO AND O'HARA STREETS,PITTSBURGH,15213.0,650,3509,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4431548506414,-79.9598815700142,West Oakland
52,PAA160174,PARKWAY CENTER MALL,1165 MCKINNEY LN,PITTSBURGH,15220.0,650,15482,310,"FLOOR TILE/MASTIC ON 1ST FLOOR DANCE ACADEMY,ROOM 222,220,MIRROR BLACK MASTIC IN KINGS JEWELERS AND ROOFING",105365,t,2016-04-14,2016-08-12,2,t,f,2016-08-12,DEMOLITION,40.423008492808,-80.0350261380725,Ridgemont
55,PAA130013,,518-532 brushton ave.,PITTSBURGH,15208.0,650,6279,331,duct tape and roofing,5520,f,2013-04-19,2013-04-28,2,t,f,2013-04-28,,40.4508563022069,-79.8903492712887,Homewood South
56,PAA130232,,2500 SMALLMAN STREET,PITTSBURGH,15222.0,650,09758,360,MASTIC COATED CORK BOARD ON 1ST FLOOR - BACK WALL AND CEILING,4050,f,2014-06-13,2015-06-13,1,f,f,2015-06-13,,40.4546378864411,-79.9806524378083,Strip District
58,PAA130309,CLARK BUILDING,717 LIBERTY AVE.,PITTSBURGH,15222.0,650,3128,388,,0,t,2013-06-17,2014-06-17,2,t,f,2014-06-17,,40.4428303372598,-79.9992598132541,Central Business District
59,PAA130313,,614 E OHIO ST,PITTSBURGH,15212.0,650,6397,331,FLOOR TILE AND ROOFING,4100,f,2013-07-02,2014-07-02,2,t,f,2014-07-02,,40.4538708418482,-79.998530870592,East Allegheny
60,PAA130322,CITH COUNTY BUILDING,414 GRANT STREET,PITTSBURGH,15219.0,150,3421,364,TRANSITE FASCIA,280,t,2013-06-26,2014-06-26,2,t,f,2014-06-26,,40.4381146583578,-79.9968595061029,Central Business District
61,PAA130328,AGH,320 EAST NORTH AVE.,PITTSBURGH,15212.0,650,404559,357,O&M PLAN,0,t,2013-07-01,2014-07-01,2,t,f,2014-07-01,,40.457069446526,-80.0036975361617,Central Northside
63,PAA130337,THE OLIVER BUILDING,535 SMITHFIELD STREET,PITTSBURGH,15222.0,650,09545,345,FLOOR TILE/MASTIC AND PIPE INSULATION,3500,t,2013-07-17,2014-07-17,2,t,f,2001-07-17,,40.441402452878,-79.9980334031628,Central Business District
64,PAA130346,UNIVERSITY OF PITTSBURGH - BENEDUM HALL,3700 OHARA ST,PITTSBURGH,15213.0,650,2924,341,,0,f,2013-07-23,2014-07-13,0,t,f,2014-07-13,,40.4436873864554,-79.9589135791197,North Oakland
66,PAA130387,CONNELLY SCHOOL,1435 BEDFORD AVE.,PITTSBURGH,15219.0,150,4120,317,FLASHING,1600,t,2013-08-31,2014-08-31,2,t,f,2014-08-31,,40.444142421389,-79.9887677667154,Crawford-Roberts
75,PAA140007,VERIZON 7TH AVE.,416 7TH AVE,PITTSBURGH,15219.0,650,4168,317,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422013687625,-79.9963460757813,Central Business District
76,PAA140008,VERIZON,15 MONTGOMERY PL,PITTSBURGH,15212.0,650,4167,317,O&M PLAN FOR VARIOUS BUILDING,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4543665848332,-80.0054756919845,Allegheny Center
80,PAA140013,US STEEL BUILDING,600 GRANT STREET,PITTSBURGH,15219.0,650,4116,326,O&M PLAN FOR SHAFT CLEANING - BANKS 4&5,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4413629674267,-79.9948560626431,Central Business District
81,PAA140016,PITTSBURGH PUBLIC SCHOOL,1305 MURIEL ST,PITTSBURGH,15203.0,650,105968,303,O&M PLAN FOR VARIOUS SCHOOL,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4302937979388,-79.9848246379356,South Side Flats
84,PAA140019,DUQUESNE UNIVERSITY,600 FORBES AVE.,PITTSBURGH,15282.0,650,220548,321,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.437826212702,-79.9936526271794,Bluff
85,PAA140020,UNIVERSITY OF PITTSBURGH,4200 5TH AVE,PITTSBURGH,15213.0,650,2454,341,O&M PLAN FOR OAKLAND CAMPUS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4443102647694,-79.9531966404474,North Oakland
87,PAA140024,DIOCESE OF PITTSBURGH,135 FIRST AVE,PITTSBURGH,15222.0,650,12617,310,O&M PLAN FOR VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4388538556955,-80.0042566135666,Central Business District
88,PAA140025,DUQUESNE LIGHT COMPANY,2645 NEW BEAVER AVE.,PITTSBURGH,15233.0,650,9948,329,"O&M PLAN FOR MANHOLES,VAULTS AND SUBSTATIONS",0,t,2014-01-01,2014-01-31,2,f,f,2014-01-31,,40.4651937475232,-80.0369259399891,Marshall-Shadeland
89,PAA140026,UNIVERSITY OF PITTSBURGH,4200 5TH AVE,PITTSBURGH,15213.0,650,2643321,371,O&M PLAN FOR OAKLAND CAMPUS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4443102647694,-79.9531966404474,North Oakland
91,PAA140028,USX TOWER,600 GRANT STREET,PITTSBURGH,15219.0,650,4216,317,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4413629674267,-79.9948560626431,Central Business District
94,PAA140033,UPMC HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213.0,650,4126,326,O&M PLAN FOR VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422470230786,-79.9609286975283,West Oakland
95,PAA140034,CHAMBER OF COMMERCE BUILDING,411 SEVENTH AVE.,PITTSBURGH,15219.0,650,5962,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4429013742763,-79.9962852848508,Central Business District
97,PAA140037,GATEWAY CENTER,603 STANWIX STREET,PITTSBURGH,15222.0,650,3539,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422341420667,-80.0045902640842,Central Business District
98,PAA140039,K L GATES CENTER,210 6TH AVE,PITTSBURGH,15222.0,650,4129,326,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4420061338605,-80.0000298225206,Central Business District
99,PAA140040,"PPG INDUSTRIES,INC",1 PPG PL,PITTSBURGH,15222.0,650,12662,310,O&M PLAN FOR VARIOUS PLANT LOCATIONS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4400171604538,-80.0038408695319,Central Business District
100,PAA140041,DUQUESNE LIGHT,2515 PREBLE AVE,PITTSBURGH,15233.0,650,010421,321,O&M PLAN AT SUBSTATIONS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4636610408146,-80.0360926014161,Marshall-Shadeland
101,PAA140042,POINT PARK UNIVERSITY - ACADEMIN THAYER HALL,201 WOOD STREET,PITTSBURGH,15222.0,650,3440,316,VAT/MASTIC THROUGHOUT BUILDING AND ACOUSTICAL PLASTER ON 1ST AND 2ND FLOORS,0,t,2014-01-24,2014-12-31,2,t,f,2014-12-31,,40.4384733865621,-80.0019297273382,Central Business District
102,PAA140043,WESTERN PENNSYLVANIA HOSPITAL,4800 FREINDSHIP AVE.,PITTSBURGH,15224.0,650,5961,308,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4621317678598,-79.9462630434165,Bloomfield
103,PAA140046,CITY COUNTY BUILDING,414 GRANT STREET,PITTSBURGH,15219.0,650,09298,360,FLOOR TILE/MASTIC,2940,t,2014-01-28,2015-01-28,2,t,f,2015-01-28,,40.4381146583578,-79.9968595061029,Central Business District
104,PAA140048,DIOCESE OF PITTSBURGH,111 BOULEVARD OF THE ALLIES,PITTSBURGH,15222.0,650,43878,308,O&M PLAN VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4395296997538,-80.0044366428394,Central Business District
105,PAA140050,FIRST NATIONAL BANK,100 FEDERAL STREET,PITTSBURGH,15212.0,650,43879,308,"FLOOR TILE/MASTIC ON 3RD FLOOR,FIREPROOFING 2ND,3RD AND 4TH FLOORS",18950,t,2014-02-04,2014-12-31,2,t,f,2014-12-31,,40.4477993564896,-80.0037669983711,North Shore
107,PAA140058,NRG ENERGY CENTER,111 S COMMONS AVE,PITTSBURGH,15212.0,650,3447,316,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4497652459488,-80.0063155023687,Allegheny Center
110,PAA140064,UPMC PRESBYTERIAN HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213.0,650,4134,326,SPRAY ON FIREPROOFING PHASE 3 - RADIOLOGY DEPT.,4800,t,2014-02-03,2014-12-31,2,t,f,2014-12-31,,40.4422470230786,-79.9609286975283,West Oakland
111,PAA140070,ALLEGHENY GERERAL HOSPITAL,320 EAST NORTH AVE.,PITTSBURGH,15212.0,360,404754,357,"VAT/MASTIC STAIR TOWER,25 LANDINGS LEVELS 01,1,2 AND 3",480,t,2014-02-24,2014-06-30,2,f,f,2014-06-30,,40.457069446526,-80.0036975361617,Central Northside
112,PAA140072,EIC FORMER CONNELLY SCHOOL,1535 BEDFORD AVE,PITTSBURGH,15219.0,650,4239,317,O&M PLAN,0,t,2014-02-24,2014-12-31,2,f,f,2014-12-31,,40.4441679545287,-79.9879886310529,Crawford-Roberts
114,PAA140074,DUQUESNE LIGHT,2833 NEW BEAVER AVE,PITTSBURGH,15233.0,650,041878,372,O&M PLAN FOR ELECTRICAL VAULIS,0,t,2014-02-17,2014-12-31,2,f,f,2014-12-31,,40.4682711197127,-80.0388145367821,Marshall-Shadeland
119,PAA140081,POINT PARK - LAWRENCE HALL,201 WOOD STREET,PITTSBURGH,15222.0,350,3470,316,VAT/MASTIC IN STAIRWELL,500,t,2014-03-03,2014-12-31,2,f,f,2014-12-31,,40.4384733865621,-80.0019297273382,Central Business District
120,PAA140082,,443 WOOD STREET,PITTSBURGH,15222.0,150,4984,340,PIPE INSULATION IN BASEMENT,210,f,2014-03-03,2014-08-31,2,f,f,2014-08-31,,40.4405888985809,-80.0007814675326,Central Business District
121,PAA140083,CRANE READINESS CENTER,826 CRANE AVE,PITTSBURGH,15216.0,150,3549,364,"ACOUSTICAL CEILING ON 2ND FLOOR (RM 200) LOBBY/RM 203A AND 206,CORRIDOR 200B,RMS 202A AND 106. PIPE INSULATION/BREECHING IN BOILER ROOM,PIPE INSULATION CORRIDOR 200BB",2365,t,2014-02-19,2014-11-05,2,f,f,2014-11-05,,40.4186108423328,-80.027439171518,Beechview
124,PAA140086,UNIVERSITY OF PITTSBURGH - POSVAR HALL,230 S. BOUQUET STREET,PITTSBURGH,15213.0,650,3471,316,ROOF FLASHING,6950,t,2014-03-04,2014-12-31,2,t,f,2014-12-31,,40.4412696613065,-79.9544987907977,Central Oakland
125,PAA140089,MOORHEAD TOWER,375 NORTH CRAIG STREET,PITTSBURGH,15213.0,650,12906,345,O&M PLAN,0,t,2014-03-03,2014-12-31,2,f,f,2014-12-31,,40.4537877059082,-79.9538800553242,North Oakland
126,PAA140090,CATHOLIC CHARITIES - VICTORY BUILDING,212 9TH ST,PITTSBURGH,15222.0,350,,316,FLOOR TILE ON 3RD FLOOR HALLWAY AT VARIOUS ROOMS,900,t,2014-03-07,2014-03-31,2,f,f,2014-03-31,,40.4432671768206,-79.9982701347917,Central Business District
127,PAA140091,POINT PARK UNIVERSITY - ACADEMIC/THAYER HALL,201 WOOD STREET,PITTSBURGH,15222.0,150,3475,316,VAT/MASTIC ON 1ST FLOOR AND PIPE IN 3RD AND 4TH FLOORS BATHROOMS CHASES,1460,t,2014-03-11,2014-12-31,2,f,f,2014-12-31,,40.4384733865621,-80.0019297273382,Central Business District
128,PAA140092,POINT PARK UNIVERSITY - LAWRENCE HALL,201 WOOD STREET,PITTSBURGH,15222.0,300,3474,316,VAT/MASTIC ON 2ND FLOOR,2000,t,2014-03-11,2014-12-31,2,f,f,2014-12-31,,40.4384733865621,-80.0019297273382,Central Business District
129,PAA140093,,7233 FRANKSTOWN AVE,PITTSBURGH,15208.0,150,6991,432,FLOOR TILE/MASTIC IN ENTRANCE,200,f,2014-03-07,2014-03-31,2,f,f,2014-03-31,,40.4573493399441,-79.8949100505922,Homewood North
131,PAA140095,,333 CRAIG STREET,PITTSBURGH,15213.0,150,730,335,VAT/MASTIC IN ROOM 13 AND INSULATION IN FURNACE ROOM,176,f,2014-03-06,2014-03-31,2,f,f,2014-03-31,,40.4527586652508,-79.9528518489155,North Oakland
136,PAA140100,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVE.,PITTSBURGH,15212.0,650,404773,357,O&M PLAN,0,t,2014-03-01,2014-12-31,2,f,f,2014-12-31,,40.457069446526,-80.0036975361617,Central Northside
138,PAA140102,UNITED STEEL WORKERS BUILDING,60 BOULEVARD OF THE ALLIES,PITTSBURGH,15222.0,350,43950,308,FIBERGLASS BATTING IN BASEMENT DOCK AREA OFFICE,312,t,2014-03-06,2014-06-30,2,f,f,2014-06-30,,40.4395104514807,-80.0055342329602,Central Business District
140,PAA140104,MEYERS PLUMBING,2137 5TH AVE,PITTSBURGH,15219.0,150,10536,412,"FLOOR TILE ON 1ST FLOOR ENTRY AND 2ND FLOOR RESTROOM,VACANT ROOM AND WORK BENCH",261,f,2014-02-20,2014-04-20,2,f,f,2014-04-20,,40.4382082390632,-79.974490173963,West Oakland
141,PAA140105,CMU,624 CLYDE STREET,PITTSBURGH,15213.0,350,09786,345,"LINOULEUM IN KITCHEN,FLOOR TILE IN 3RD FLOOR BATHROOM AND PIPE INSULATION IN BASEMENT",840,f,2014-03-19,2014-06-30,2,t,f,2014-06-30,,40.4482434204633,-79.9460982242441,Shadyside
142,PAA140107,CARNEIGIE MELLON UNIVERSITY,5000 FORBES AVE.,PITTSBURGH,15213.0,650,09784,345,O&M PLAN ALL BUILDING,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4442129846549,-79.94339909741,Squirrel Hill North
144,PAA140109,CRANE READINESS CENTER,826 CRANE AVE,PITTSBURGH,15216.0,150,3561,364,ACOUSTICAL CEILING IN CORRIDOR 100B,690,t,2014-03-10,2014-11-05,2,t,f,2015-11-05,,40.4186108423328,-80.027439171518,Beechview
145,PAA140106,CMU,205 S. CRAIG STREET,PITTSBURGH,15213.0,650,09785,345,"FLOOR TILE/MASTIC IN BASEMENT BATHROOM,LIVING ROOM,DINING ROOM,WORKSHOP,1ST AND 2ND FLOOR HALLWAY. FLOOE TILE 1ST FLOOR REAR ROOM. FUSE BOX INSULATION 2ND FLOOR HALLWAY AND ROOF FLASHING",1904,f,2014-03-20,2014-12-31,2,t,f,2014-12-31,,40.4461488685831,-79.9486555236303,North Oakland
148,PAA140112,ALLEGHENY CENTER BUILDING #7,7 N COMMONS ST,PITTSBURGH,15212.0,650,007855,367,ROOF FLASHING,3200,t,2014-03-17,2014-05-17,2,t,f,2014-05-17,,40.4554835647939,-80.006537443135,Central Northside
149,PAA140113,WAREHOUSE BUILDING,7800 SUSQUEHANNA STREET,PITTSBURGH,15208.0,650,10582,412,FLOOR TILE/MASTIC ON 1ST THROUGH 5TH FLOORS,44600,t,2014-03-24,2015-03-23,2,t,f,2014-12-31,,40.4493486243,-79.8891618801259,Homewood South
150,PAA140114,CRANE READINESS CENTER,826 CRANE AVE,PITTSBURGH,15216.0,150,3562,364,ACOUSTICAL CEILING IN CORRIDORS 100A AND 200A,1020,t,2014-03-12,2014-11-05,2,f,f,2014-11-05,,40.4186108423328,-80.027439171518,Beechview
153,PAA140117,UPMC MONTEFIORE HOSPITAL,3459 FIFTH AVE.,PITTSBURGH,15213.0,650,404778,357,FLOOR TILE/MASTIC ON 11TH FLOOR ELEVATOR LOBBIES AND CORRIDOR,1750,t,2014-03-24,2015-03-24,2,t,f,2014-04-30,,40.4403592216973,-79.9614238732971,West Oakland
155,PAA140119,BOSSA NOVA,121 7TH AVE.,PITTSBURGH,15222.0,650,40938,301,"FLOOR TILE,WINDOWS AND PIPE INSULATION ON 1 THROUGH 6TH FLOORS. TRANSITE ON 3RD FLOOR AND BASEMENT",1435,f,2014-03-17,2015-03-04,2,f,f,2015-03-04,,40.4441910302313,-80.0004521237645,Central Business District
157,PAA140121,REGIONAL ENTERPRISE TOWER,425 6TH AVE,PITTSBURGH,15219.0,650,3867,430,"FLOOR TILE/MASTIC,PIPE INSULATION/FITTINGS ON FLOORS 2,3,4,5,6,7,8,9,10,11,12,13,16,17,19,21,22,24,26,29,31,LOBBY,BASEMENT AND SUB BASEMENT",88080,t,2014-03-20,2015-03-03,2,f,f,2015-03-03,,40.4415154144528,-79.9968138021924,Central Business District
159,PAA140123,CARNEGIE MELLON UNIVERSITY - HAMBURGH HALL,5000 FORBES AVE.,PITTSBURGH,15213.0,650,09798,345,"FLOOR TILE IN ROOMS 2202,2209,2211,2213,2214,2216,2200 AND CORRIDOR",1633,t,2014-04-03,2014-05-31,2,t,f,2014-05-31,,40.4442129846549,-79.94339909741,Squirrel Hill North
162,PAA140126,CONNELLY SCHOOL,1435 BEDFORD AVE.,PITTSBURGH,15219.0,350,4253,317,ROOFING,600,t,2014-04-07,2014-07-31,2,t,f,2014-07-31,,40.444142421389,-79.9887677667154,Crawford-Roberts
163,PAA140127,,1264 NOLON COURT,PITTSBURGH,15208.0,150,010582,321,FLOOR TILE ON 3RD FLOOR,200,f,2014-04-08,2014-04-30,2,t,f,2014-04-30,,40.4597125015418,-79.8869554704177,Homewood North
