permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA160168,ALLEGHENY COUNTY AIRPORT,12 ALLEGHENY COUNTY AIRPORT,WEST MIFFLIN,15122,650,41950,301,"FLOOR TILE/MASTIC AND PLASTER ON 1ST FLOOR ROOMS 104,104A,104B AND 104C",1360,t,2016-04-18,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.3523727731195,-79.9270812453475
PAA160169,UNIVERSITY OF PITTSBURGH CATHEDRAL OF LEARNING,4200 5TH AVE,PITTSBURGH,15213,650,41954,301,"PLASTER CEILING ON 12 FLOOR,FLOOR TILE/MASTIC 12TH  AND 37TH FLOOR,PIPE INSULATION 12 AND 37TH FLOOR, CLUE DOTS ON 12TH FLOOR AND MASTIC ON 37TH FLOOR",13655,t,2016-04-15,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4443102647694,-79.9531966404474
PAA160171,PITTSBURGHER,428 FORBES AVE,PITTSBURGH,15219,359,3926,316,FLOOR TILE IN BASEMENT,800,t,2016-04-13,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.438825039758,-79.9981951252272
PAA160172,DRIVE TIME,7211 MCKNIGHT RD,PITTSBURGH,15237,650,3924,316,WALLBOARD IN PART DEPARTMENT,1400,t,2016-04-14,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.5353029137387,-80.0118338122143
PAA160170,FORBES LAW BUILDING,428 FORBES AVE,PITTSBURGH,15219,650,4690,317,O&M PLAN,0,t,2016-04-11,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.438825039758,-79.9981951252272
PAA160173,K&L GATES CENTER,210 6TH AVE,PITTSBURGH,15222,650,4256,326,O&M PLAN,0,t,2016-04-20,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4420061338605,-80.0000298225206
PAA140021,UPMC MCKEESPORT HODPITAL,1500 FIFTH AVE.,MCKEESPORT,15132,650,3507,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3513577942261,-79.8498321945279
PAA140022,UPMC,DESOTO AND O'HARA STREETS,PITTSBURGH,15213,650,3509,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4431548506414,-79.9598815700142
PAA160174,PARKWAY CENTER MALL,1165 MCKINNEY LN,PITTSBURGH,15220,650,15482,310,"FLOOR TILE/MASTIC ON 1ST FLOOR DANCE ACADEMY,ROOM 222,220,MIRROR BLACK MASTIC IN KINGS JEWELERS AND ROOFING",105365,t,2016-04-14,2016-08-12,2,t,f,2016-08-12,DEMOLITION,40.423008492808,-80.0350261380725
PAA160175,ALL SAINTS PARISH RECTORY,19  WILSON ST,ETNA,15223,650,15498,310,ROOFING,3002,t,2016-04-19,2016-08-19,2,t,f,2016-08-19,RENOVATION,40.5037979031292,-79.950107986166
PAA170246,CHARTIERS VALLEY HIGH SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,850,15985,360,FLOOR TILE/MASTIC THROUGHOUT HIGH SCHOOL.TRANSITE METAL PANELS EXTERIOR WINDOW WALL. TRANSITE TABLETOPS IN ROOM 311A ANS 319. ROOFING,9200,t,2017-05-29,2018-05-29,2,t,f,,RENOVATION,40.378788791577,-80.1025406961975
PAA130013,,518-532 brushton ave.,PITTSBURGH,15208,650,6279,331,duct tape and roofing,5520,f,2013-04-19,2013-04-28,2,t,f,2013-04-28,,40.4508563022069,-79.8903492712887
PAA130232,,2500 SMALLMAN STREET,PITTSBURGH,15222,650,09758,360,MASTIC COATED CORK BOARD ON 1ST FLOOR - BACK WALL AND CEILING,4050,f,2014-06-13,2015-06-13,1,f,f,2015-06-13,,40.4546378864411,-79.9806524378083
PAA130301,MT. LEBANON HIGH SCHOOL,155 COCHRAN RD.,PITTSBURGH,15228,650,11342,362,FLOOR TILE/MASTIC AND TSI,0,t,2013-06-24,2014-06-24,2,t,f,2014-06-24,,40.3763192749489,-80.0508801055282
PAA130309,CLARK BUILDING,717 LIBERTY AVE.,PITTSBURGH,15222,650,3128,388,,0,t,2013-06-17,2014-06-17,2,t,f,2014-06-17,,40.4428303372598,-79.9992598132541
PAA130313,,614 E OHIO ST,PITTSBURGH,15212,650,6397,331,FLOOR TILE AND ROOFING,4100,f,2013-07-02,2014-07-02,2,t,f,2014-07-02,,40.4538708418482,-79.998530870592
PAA130322,CITH COUNTY BUILDING,414 GRANT STREET,PITTSBURGH,15219,150,3421,364,TRANSITE FASCIA,280,t,2013-06-26,2014-06-26,2,t,f,2014-06-26,,40.4381146583578,-79.9968595061029
PAA130328,AGH,320 EAST NORTH AVE.,PITTSBURGH,15212,650,404559,357,O&M PLAN,0,t,2013-07-01,2014-07-01,2,t,f,2014-07-01,,40.457069446526,-80.0036975361617
PAA130335,PPG,440 COLLEGE PARK DRIVE,MONROEVILLE,15146,350,11891,310,FLOOR TILE/MASIC,700,t,2013-07-12,2014-07-13,2,t,f,2014-07-13,,40.4423014501313,-79.7324027374942
PAA130337,THE OLIVER BUILDING,535 SMITHFIELD STREET,PITTSBURGH,15222,650,09545,345,FLOOR TILE/MASTIC AND PIPE INSULATION,3500,t,2013-07-17,2014-07-17,2,t,f,2001-07-17,,40.441402452878,-79.9980334031628
PAA130346,UNIVERSITY OF PITTSBURGH - BENEDUM HALL,3700 OHARA ST,PITTSBURGH,15213,650,2924,341,,0,f,2013-07-23,2014-07-13,0,t,f,2014-07-13,,40.4436873864554,-79.9589135791197
PAA130383,GREAT SOUTHERN SHOPPING CENTER,1155 WASHINGTON PIKE,BRIDGEVILLE,15017,650,12036,310,FLOOR TILE/MASTIC,5650,t,2013-08-13,2014-08-13,2,t,f,2014-08-13,,40.3695047584533,-80.1068553343925
PAA130387,CONNELLY SCHOOL,1435 BEDFORD AVE.,PITTSBURGH,15219,150,4120,317,FLASHING,1600,t,2013-08-31,2014-08-31,2,t,f,2014-08-31,,40.444142421389,-79.9887677667154
PAA130409,GIANT EAGLE,5990 UNIVERSITY BLVD.,MOON TOWNSHIP,15108,350,007822,367,ROOFING,203,t,2013-09-03,2014-09-03,2,t,f,2014-09-03,,40.5217822927008,-80.2205660271226
PAA130550,DOLLAR BANK,5375 WILLIAM FLYNN HWY,GIBSONIA,15044,350,404693,357,VAT/MASTIC ON GROUND FLOOR,330,t,2013-12-20,2014-11-30,2,t,f,2014-11-30,,40.61963683133,-79.9465038071625
PAA140001,US STEEL CLAIRTON WORKS,400 STATE STREET,CLAIRTON,15025,650,4313,410,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.2940110111861,-79.8743163626466
PAA140002,US STEEL IRVIN WORKS,1301 CAMP HOLLOW RD,WEST MIFFLIN,15122,650,4312,410,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3342207747223,-79.9025248039151
PAA140003,US STEEL CLAIRTON WORKS,400 STATE STREET,CLAIRTON,15025,650,4311,410,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.2940110111861,-79.8743163626466
PAA140004,US STEEL CLAIRTON WORKS,400 STATE STREET,CLAIRTON,15025,650,4310,410,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.2940110111861,-79.8743163626466
PAA140005,US STEEL ET WORKS,1300 BRADDOCK AVE.,BRADDOCK,15104,650,4309,410,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.396500204663,-79.8533340829404
PAA140006,UPMC PASSAVANT HOSPITAL,9100 BABCOCK BLVD,ALLISON PARK,15101,650,3506,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.5732514847625,-80.014195126206
PAA140007,VERIZON 7TH AVE.,416 7TH AVE,PITTSBURGH,15219,650,4168,317,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422013687625,-79.9963460757813
PAA140008,VERIZON,15 MONTGOMERY PL,PITTSBURGH,15212,650,4167,317,O&M PLAN FOR VARIOUS BUILDING,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4543665848332,-80.0054756919845
PAA140009,BETTIS POWER LABORATORY,814 PITTSBURGH-MCKEESPORT BLVD.,WEST MIFFLIN,15122,650,1030537,319,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3572354645406,-79.8991410934409
PAA140010,BETTIS POWER LABORATORY,814 PITTSBURGH-MCKEESPORT BLVD.,WEAT MIFFLIN,15122,650,1030537,314,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3572354645406,-79.8991410934409
PAA140011,IPS PENNSYLVANIA ELECTRIC COIL,1000 OHIO AVE.,CLASSPORT,15045,650,2012,412,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3183246196336,-79.8911453203049
PAA140013,US STEEL BUILDING,600 GRANT STREET,PITTSBURGH,15219,650,4116,326,O&M PLAN FOR SHAFT CLEANING - BANKS 4&5,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4413629674267,-79.9948560626431
PAA140016,PITTSBURGH PUBLIC SCHOOL,1305 MURIEL ST,PITTSBURGH,15203,650,105968,303,O&M PLAN FOR VARIOUS SCHOOL,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4302937979388,-79.9848246379356
PAA140017,US STEEL CLAIRTON WORKS,400 STATE STREET,CLAIRTON,15025,650,9858,344,O&M PLAN FOR MASTIC PAINT,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.2940110111861,-79.8743163626466
PAA140018,UPMC FACILITES,320 LOTHRUP STREET,PITTSBURGH,15213,650,404694,357,O&M PLAN FOR VARIOUS BUILDING,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,,
PAA140019,DUQUESNE UNIVERSITY,600 FORBES AVE.,PITTSBURGH,15282,650,220548,321,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.437826212702,-79.9936526271794
PAA140020,UNIVERSITY OF PITTSBURGH,4200 5TH AVE,PITTSBURGH,15213,650,2454,341,O&M PLAN FOR OAKLAND CAMPUS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4443102647694,-79.9531966404474
PAA140023,KOPPERS INC.,300 NORTH STATE STREET,CLAIRTON,15025,650,17156,374,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3078329752497,-79.8855657170386
PAA140024,DIOCESE OF PITTSBURGH,135 FIRST AVE,PITTSBURGH,15222,650,12617,310,O&M PLAN FOR VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4388538556955,-80.0042566135666
PAA140025,DUQUESNE LIGHT COMPANY,2645 NEW BEAVER AVE.,PITTSBURGH,15233,650,9948,329,"O&M PLAN FOR MANHOLES,VAULTS AND SUBSTATIONS",0,t,2014-01-01,2014-01-31,2,f,f,2014-01-31,,40.4651937475232,-80.0369259399891
PAA140026,UNIVERSITY OF PITTSBURGH,4200 5TH AVE,PITTSBURGH,15213,650,2643321,371,O&M PLAN FOR OAKLAND CAMPUS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4443102647694,-79.9531966404474
PAA140027,,607 WASHINGTON ROAD,MT.LEBANON,15228,650,2796,320,"SPRAY ON FIREPROOFING,PIPE AND FITTINGS,VAT/MASTIC",16000,t,2014-01-06,2014-06-30,2,f,f,2014-06-30,,40.3829519410574,-80.0436138115568
PAA140028,USX TOWER,600 GRANT STREET,PITTSBURGH,15219,650,4216,317,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4413629674267,-79.9948560626431
PAA140031,ASHLAND CHEMICAL,2650 NEVILLE ROAD,PITTSBURGH,15225,650,5959,317,O&M PLAN AT NEVILLE FACILITY,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4994180506921,-80.0810662997816
PAA140032,MOUNT LEBANON SCHOOL DISTRICT,7 HORSMAN DRIVE,MT. LEBANON,15228,650,5960,317,O&M PLAN FOR VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.3758123686354,-80.0513178679533
PAA140033,UPMC HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213,650,4126,326,O&M PLAN FOR VARIOUS BUILDINGS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422470230786,-79.9609286975283
PAA140034,CHAMBER OF COMMERCE BUILDING,411 SEVENTH AVE.,PITTSBURGH,15219,650,5962,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4429013742763,-79.9962852848508
PAA140035,UNIVERSITY OF PITTSBURGH APPLIED RESEARCH CENTER,3170 WILLIAM PITT WAY,PITTSBURGH,15238,650,10240,412,O&M PLAN FOR VARIOUS BUILDING,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.5449997734214,-79.8271432746162
PAA140037,GATEWAY CENTER,603 STANWIX STREET,PITTSBURGH,15222,650,3539,364,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4422341420667,-80.0045902640842
PAA140039,K L GATES CENTER,210 6TH AVE,PITTSBURGH,15222,650,4129,326,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4420061338605,-80.0000298225206
PAA140040,"PPG INDUSTRIES,INC",1 PPG PL,PITTSBURGH,15222,650,12662,310,O&M PLAN FOR VARIOUS PLANT LOCATIONS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4400171604538,-80.0038408695319
PAA140041,DUQUESNE LIGHT,2515 PREBLE AVE,PITTSBURGH,15233,650,010421,321,O&M PLAN AT SUBSTATIONS,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4636610408146,-80.0360926014161
PAA140042,POINT PARK UNIVERSITY - ACADEMIN THAYER HALL,201 WOOD STREET,PITTSBURGH,15222,650,3440,316,VAT/MASTIC THROUGHOUT BUILDING AND ACOUSTICAL PLASTER ON 1ST AND 2ND FLOORS,0,t,2014-01-24,2014-12-31,2,t,f,2014-12-31,,40.4384733865621,-80.0019297273382
PAA140043,WESTERN PENNSYLVANIA HOSPITAL,4800 FREINDSHIP AVE.,PITTSBURGH,15224,650,5961,308,O&M PLAN,0,t,2014-01-01,2014-12-31,2,f,f,2014-12-31,,40.4621317678598,-79.9462630434165
PAA140046,CITY COUNTY BUILDING,414 GRANT STREET,PITTSBURGH,15219,650,09298,360,FLOOR TILE/MASTIC,2940,t,2014-01-28,2015-01-28,2,t,f,2015-01-28,,40.4381146583578,-79.9968595061029
